Term,Term Descrshort,Crse Descr,Class Nbr,Subject,Catalog Nbr,Class Section,Class Instr ID,Class Instr Name,Class Mtg Nbr,Facility ID,Facility Descr,Instruction Mode Descrshort,Meeting Start Dt,Meeting End Dt,Meeting Time Start,Meeting Time End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
2510,FA 2024,18th C Counterpoint,12997,THEORY,442,001,38573424,"Petty,Wayne C",1,SM2044,2044 MOORE,In Person,08/26/2024,12/09/2024,1:30 PM,2:30 PM,Y,N,Y,N,Y,N,N
2510,FA 2024,18th C Counterpoint,12998,THEORY,442,002,38573424,"Petty,Wayne C",1,SM2044,2044 MOORE,In Person,08/26/2024,12/09/2024,12:30 PM,1:30 PM,Y,N,Y,N,Y,N,N
2510,FA 2024,18th C Counterpoint,13001,THEORY,542,001,38573424,"Petty,Wayne C",1,SM2044,2044 MOORE,In Person,08/26/2024,12/09/2024,1:30 PM,2:30 PM,Y,N,Y,N,Y,N,N
2510,FA 2024,18th C Counterpoint,13002,THEORY,542,002,38573424,"Petty,Wayne C",1,SM2044,2044 MOORE,In Person,08/26/2024,12/09/2024,12:30 PM,1:30 PM,Y,N,Y,N,Y,N,N
2510,FA 2024,19C Intell Hist,34021,GERMAN,401,001,32520530,"Spector,Scott",1,EHB844,B844 EH,In Person,08/26/2024,12/09/2024,11:30 AM,1:00 PM,N,Y,N,Y,N,N,N
2510,FA 2024,19C Intell Hist,34027,HISTORY,416,001,32520530,"Spector,Scott",1,EHB844,B844 EH,In Person,08/26/2024,12/09/2024,11:30 AM,1:00 PM,N,Y,N,Y,N,N,N
2510,FA 2024,19th C American Lit,26549,ENGLISH,471,001, , ,1, , ,In Person,08/26/2024,12/09/2024,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2510,FA 2024,1st Spec Reading,34016,GERMAN,111,001,50637824,"Dabak,Shubhangi",1,REMOTE,REMOTE,Hybrid,08/26/2024,12/09/2024,9:00 AM,10:00 AM,N,Y,N,N,N,N,N
2510,FA 2024,1st Spec Reading,34017,GERMAN,511,001,50637824,"Dabak,Shubhangi",1,REMOTE,REMOTE,Hybrid,08/26/2024,12/09/2024,9:00 AM,10:00 AM,N,Y,N,N,N,N,N
2510,FA 2024,1st Sp Spk&Read,10956,DUTCH,511,001,07224801,"Toebosch,Annemarie",1,SPH1A2695,2695 SPH1A,In Person,08/26/2024,12/09/2024,10:00 AM,11:00 AM,Y,Y,Y,Y,N,N,N
2510,FA 2024,1st Year HU Seminar,23595,HISTORY,197,001,21176368,"Al-Rustom,Hakem Amer",1,AH2024,2024 TISCH,In Person,08/26/2024,12/09/2024,11:30 AM,1:00 PM,N,Y,N,Y,N,N,N
2510,FA 2024,1st Year HU Seminar,23596,HISTORY,197,002,86041744,"Maitra Kumar,Sikandar",1,SEB2225,2225 SEB,In Person,08/26/2024,12/09/2024,4:00 PM,5:30 PM,Y,N,Y,N,N,N,N
2510,FA 2024,1st Year HU Seminar,34606,HISTORY,197,003,25409936,"de Pee,Christian",1,MH3314,3314 MH,In Person,08/26/2024,12/09/2024,8:30 AM,10:00 AM,N,Y,N,Y,N,N,N
2510,FA 2024,1st Year HU Seminar,35172,HISTORY,197,004,64993553,"Cole,Joshua H",1,AH4175,4175 AH,In Person,08/26/2024,12/09/2024,10:00 AM,11:30 AM,Y,N,Y,N,N,N,N
2510,FA 2024,1st Year Seminar,27133,DANCE,191,001,80527059,"West,Amy",1,SM2044,2044 MOORE,In Person,08/26/2024,12/09/2024,4:00 PM,6:00 PM,N,Y,N,N,N,N,N
