Term Code,Term Desc,Subject,Class Nbr,Class Section,Primary Instructor ID,Primary Instructor Last Name,Primary Instructor First Name,Room Code,Building Code,Term Start Date,Term End Date,Begin Time,End Time,Monday Indicator,Tuesday Indicator,Wednesday Indicator,Thursday Indicator,Friday Indicator,Saturday Indicator,Sunday Indicator,Instructional Mode
202530,Summer 2025,AAAS,300,101,41453124,Harris,Aurora, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ACC,298,101,60986283,Baker,Susan,170,FCS,5/5/2025,6/20/2025,1100,1345, ,T, ,R, , , ,In Person
202530,Summer 2025,ACC,357,101,40331464,Kent,Richard, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ACC,358,101,79623236,Graybeal,Patricia, ,EXAMS,5/5/2025,6/20/2025,1800,2045,M, , , , , , ,Hybrid - Mostly Online
202530,Summer 2025,ACC,439,101,32473683,Green,Brian, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ACC,505,101,40331464,Kent,Richard, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ACC,539,101,32473683,Green,Brian, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ANTH,101,101,15506693,Beauchesne,Patrick, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ANTH,303,101,87364562,Jayaprakash,Shalini, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ANTH,415,101,15506693,Beauchesne,Patrick, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ANTH,515,101,15506693,Beauchesne,Patrick, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ARBC,102,101,90843066,ElMeligi,Wessam, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ARBC,365,101,47153612,Dika,Rifaat, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,ARTH,101,101,84835766,Weed,Stanley, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BA,300,101,00950956,Wheeler,Tuere, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BA,330,101,44328923,Coon,Jennifer, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BA,690,101, , , , ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BCHM,370,101,71878200,DaDalt,Ashley,1043,CB,5/5/2025,6/20/2025,0930,1045, ,T, ,R, , , ,In Person
202530,Summer 2025,BCHM,370,102,71878200,DaDalt,Ashley,1043,CB,5/5/2025,6/20/2025,0930,1045, ,T, ,R, , , ,In Person
202530,Summer 2025,BE,401,101,67339926,Valero,Magali, ,WEB,5/5/2025,6/20/2025,1100,1345,M, ,W, , , , ,Hybrid
202530,Summer 2025,BE,530,101,13773149,Miranda,Maria, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BENG,364,101,77464422,Hu,Jian, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BENG,600,101, , , , , ,5/5/2025,6/20/2025, , , , , , , , , ,Web Based
202530,Summer 2025,BENG,699,101, , , , , ,5/5/2025,6/20/2025, , , , , , , , , ,Web Based
202530,Summer 2025,BIOL,130,101,34107348,Abramyan,John,1175,SSB,5/5/2025,6/20/2025,0930,1045, ,T, ,R, , , ,In Person
202530,Summer 2025,BIOL,130L,101,70931081,Susko,David,1037,NSB,5/5/2025,6/20/2025,1300,1645, ,T, ,R, , , ,In Person
202530,Summer 2025,BIOL,130L,102,70931081,Susko,David,1037,NSB,5/5/2025,6/20/2025,1700,2045, ,T, ,R, , , ,In Person
202530,Summer 2025,BIOL,285,101,08773438,Mauer,Terra,127,NSB,5/5/2025,6/20/2025,0930,1045, ,T, ,R, , , ,In Person
202530,Summer 2025,BIOL,285L,101,08773438,Mauer,Terra,2032,SLRC,5/5/2025,6/20/2025,1300,1645, ,T, , , , , ,In Person
202530,Summer 2025,BIOL,304,101,69076854,Harper,Jennifer,1175,SSB,5/5/2025,6/20/2025,1400,1515, ,T, ,R, , , ,Hybrid
202530,Summer 2025,BIOL,308,101,69076854,Harper,Jennifer,147,NSB,5/5/2025,6/20/2025,0900,1245, ,T, , , , , ,In Person
202530,Summer 2025,BIOL,320,101,68442014,Nesmith,Judy,119,EIC,5/5/2025,6/20/2025,0800,1145,M, ,W, ,F, , ,In Person
202530,Summer 2025,BIOL,357,101,24119836,Bieri,Rebecca,1175,SSB,5/5/2025,6/20/2025,1100,1345,M, ,W, , , , ,In Person
202530,Summer 2025,BIOL,357,102,24119836,Bieri,Rebecca,1175,SSB,5/5/2025,6/20/2025,1400,1645,M, ,W, , , , ,In Person
202530,Summer 2025,BIOL,370,101,71878200,DaDalt,Ashley,1043,CB,5/5/2025,6/20/2025,0930,1045, ,T, ,R, , , ,In Person
202530,Summer 2025,BIOL,370,102,71878200,DaDalt,Ashley,1043,CB,5/5/2025,6/20/2025,0930,1045, ,T, ,R, , , ,In Person
202530,Summer 2025,BIOL,402,101,24718970,Zhang,Zhi,2012,NSB,5/5/2025,6/20/2025,1400,1645,M, ,W, , , , ,Hybrid
202530,Summer 2025,BIOL,476,101,02528164,Kondapalli,Kalyan, , ,5/5/2025,6/20/2025,0930,1045, , , , ,F, , ,Hybrid - Mostly Online
202530,Summer 2025,BIOL,499,101, , , , ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,BPS,451,101,62623751,Molloy,Janice, ,WEB,5/5/2025,6/20/2025, , , , , , , , , ,Online-Asynchronous
202530,Summer 2025,CHEM,134,101,08868802,Lawson,Daniel,2195,SSB,5/5/2025,6/20/2025,0900,0950,M, ,W, ,F, , ,In Person
202530,Summer 2025,CHEM,134,102,08868802,Lawson,Daniel,2195,SSB,5/5/2025,6/20/2025,0900,0950,M, ,W, ,F, , ,In Person
202530,Summer 2025,CHEM,134L,101,08868802,Lawson,Daniel, , ,5/5/2025,6/20/2025,1300,1645,M, ,W, , , , ,In Person
202530,Summer 2025,CHEM,134L,102,89054623,Smith,Sheila, , ,5/5/2025,6/20/2025,1300,1645, ,T, ,R, , , ,In Person
