Term,Term Descrshort,Crse Descr,Class Nbr,Subject,Catalog Nbr,Class Section,Class Instr ID,Class Instr Name,Class Mtg Nbr,Facility ID,Facility Descr,Instruction Mode Descrshort,Meeting Start Dt,Meeting End Dt,Meeting Time Start,Meeting Time End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
2550,SU 2025,1st Year Korean II,73505,ASIANLAN,136,201,48418849,"Kim,So Yeon",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,7:00 PM,7:59 PM,Y,Y,Y,Y,N,N,N
2550,SU 2025,1st Year Korean II,73506,ASIANLAN,136,202,48418849,"Kim,So Yeon",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,7:59 PM,9:29 PM,Y,Y,Y,Y,N,N,N
2550,SU 2025,1st Yr Chinese II,74487,ASIANLAN,102,201,27990333,"Liu,Wei",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,9:00 AM,10:59 AM,Y,Y,Y,Y,Y,N,N
2550,SU 2025,2nd Yr Chinese II,73351,ASIANLAN,202,201,19429073,"Liu,Qian",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,9:00 AM,10:59 AM,Y,Y,Y,Y,Y,N,N
2550,SU 2025,2nd Yr Japanese II,73352,ASIANLAN,226,201,39644696,"Mochizuki,Yoshihiro",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,10:00 AM,10:59 AM,Y,Y,Y,Y,N,N,N
2550,SU 2025,2nd Yr Japanese II,73391,ASIANLAN,226,202, , ,3,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,10:00 AM,12:00 PM,N,N,N,N,Y,N,N
2550,SU 2025,2nd Yr Japanese II,73391,ASIANLAN,226,202,39644696,"Mochizuki,Yoshihiro",2,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,10:59 AM,12:00 PM,Y,Y,Y,Y,N,N,N
2550,SU 2025,2nd Yr Korean II,73353,ASIANLAN,236,201,44621762,"Byun,YuhJoo",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,9:00 AM,10:00 AM,Y,Y,Y,Y,N,N,N
2550,SU 2025,2nd Yr Korean II,74488,ASIANLAN,236,202,44621762,"Byun,YuhJoo",1,REMOTE,REMOTE,Distance,06/26/2025,08/12/2025,10:00 AM,11:30 AM,Y,Y,Y,Y,N,N,N
2550,SU 2025,ABIS,72982,BA,525,201,51368576,"Shark,Rebecca",1, , ,Distance,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,ABIS,73025,BA,225,201,51368576,"Shark,Rebecca",1, , ,Distance,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,ABIS,73026,BA,325,201,51368576,"Shark,Rebecca",1, , ,Distance,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Admin Pract,74607,EDUC,778,001, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Admin Pract,74608,EDUC,778,092,91171761,"Wright-Kim,Jeremy Michael",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Research,70193,EEB,400,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Research,71579,MCDB,400,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Research,72777,WGS,892,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Research,74605,MCDB,400,046,41052389,"Kumar,Anuj",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Research,74656,MCDB,400,218,85223046,"Aton,Sara Jo",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Research,74663,MCDB,400,219,48807830,"Nandakumar,Jayakrishnan",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Studies,70195,EEB,700,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advanced Studies,71580,MCDB,700,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Advan Spreadsheets,73234,MBAN,551,201,78805113,"Hojjat,Ali",1,R-BUS1220,R1220 BUS,In Person,06/26/2025,08/12/2025,10:59 AM,12:29 PM,N,Y,N,Y,N,N,N
2550,SU 2025,Adv Bacteriol Lab,71298,EPID,562,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,70121,EECS,499,201, , ,1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71503,EECS,499,029,35529894,"Brehob,Mark W",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71510,EECS,499,132,29300990,"Sakallah,Karem A",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71554,EECS,499,127,67296252,"Jagadish,H V",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71558,EECS,499,048,18659013,"Saranurak,Thatchaphol",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71559,EECS,499,175,65415283,"Mortazawi,Amir",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71560,EECS,499,146,98956151,"Peikert,Christopher J",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71565,EECS,499,120,69287870,"Winful,Herbert Graves",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71591,EECS,499,152,14476880,"Gilchrist,Brian E",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71596,EECS,499,020,25377414,"Mudge,Trevor N",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71616,EECS,499,004,41381406,"Arthur,William Patrick",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71639,EECS,499,135,71906660,"Jamin,Sugih",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71669,EECS,499,125,82665510,"Soloway,Elliot",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
2550,SU 2025,Adv Directed Study,71696,EECS,499,016,42186262,"Sarabandi,Kamal",1, , ,In Person,06/26/2025,08/12/2025,1:00 AM,1:00 AM,N,N,N,N,N,N,N
