Crse Descr,SUBJECT,Catalog Nbr,Class Instr Name,Class Nbr,Facility ID,Facility Descr,Meeting Start Dt,MEETING_END_DT,Meeting Time Start,Meeting Time End,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,Class Mtg Nbr
Human Anatomy & Physiology I,BIO,167,"Yambrick, Nicole",04,107 MSB,107 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Human Anatomy & Physiology I,BIO,167,"Yambrick, Nicole",05,107 MSB,107 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Human Anatomy/Physiology II,BIO,168,"Yambrick, Nicole",01,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy/Physiology II,BIO,168,"Yambrick, Nicole",02,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy/Physiology II,BIO,168,"Yambrick, Nicole",03,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Regional Anatomy/Anesthetists,BIO,511,"Mayhew, Earl",01,107 MSB,107 MSB,01/08/2025,04/22/2025,09:30AM,11:35AM,,X,,,,,,
Human Anatomy & Physiology I,BIO,167,"Miller, Jennifer",01,109 MSB,109 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy & Physiology I,BIO,167,"Miller, Jennifer",02,109 MSB,109 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Human Anatomy & Physiology I,BIO,167,"Miller, Jennifer",03,109 MSB,109 MSB,01/08/2025,04/22/2025,09:30AM,10:45AM,X,,X,,,,,
Intro to Social Studies,SST,201,"Sayers, Harold",01,110 FH,110 FH,01/08/2025,04/22/2025,04:00PM,06:45PM,,X,,,,,,
An Introduction to Music,MUS,100,"Coviak, James",01,111 FH,111 FH,01/08/2025,04/22/2025,11:00AM,12:15PM,X,,X,,,,,
Introduction to Human Biology,BIO,104,"Viele, Dennis",01,115 MSB,115 MSB,01/08/2025,04/22/2025,12:30PM,01:45PM,,X,,X,,,,
Human Anatomy for PAs,BIO,510,"Morey, Jon",02,115 MSB,115 MSB,01/08/2025,04/22/2025,03:30PM,04:30PM,,X,,,,,,
